IMAGE,MEDICINE_NAME
0.jpg,Metformin
1.jpg,Leunogestrol
2.jpg,Metropolol
3.jpg,Glimepiride
4.jpg,Emagliflozin
5.jpg,Calcitonin
6.jpg,Pioglitazone
7.jpg,Hydrocorsitone
8.jpg,Methimazole
9.jpg,Methimazole
10.jpg,Nexcap
11.jpg,Esonix
12.jpg,Norgestrol
13.jpg,Maxima
14.jpg,Dinaflex
15.jpg,Esomeprazole
16.jpg,Maxpro
17.jpg,Ace
18.jpg,Flexilax
19.jpg,Canazole
20.jpg,Candinil
21.jpg,Alendronate
22.jpg,Sitagliptin
23.jpg,Flobiprofen
24.jpg,Lenothyroxine
25.jpg,Odansetron
26.jpg,Mesalamine
27.jpg,Refaximine
28.jpg,Sulcrafate
29.jpg,Amodis
30.jpg,Baclon
31.jpg,Leptic
32.jpg,Aceta
33.jpg,Esoral
34.jpg,Nabumetone
35.jpg,Lactobacillus
36.jpg,Astrovastrin
37.jpg,Losartan
38.jpg,Amlodipine
39.jpg,Clopidogrel
